id,nama,x,y
135,SDN 1 Demak Ijo - A,110.336809,-7.778221
136,SDN 1 Demak Ijo - B,110.336763,-7.778267
137,SDN 1 Depok -  A,110.43292,-7.760761
138,SDN 1 Depok - B,110.432945,-7.760914
139,SDN Percobaan 3 Pakem,110.417696,-7.668404
140,SDN Selomulyo - A,110.420716,-7.702391
141,SDN Selomulyo - B,110.420449,-7.702236
142,Selokan Mataram Maguwo,110.431043,-7.77096
143,Simpang Babadan - A,110.435469,-7.723146
144,Simpang Babadan - B,110.435436,-7.723286
145,Simpang Bantulan - A,110.322299,-7.774802
146,Simpang Bantulan - B,110.322441,-7.774891
147,Simpang Besi Jakal - A,110.415388,-7.70021
148,Simpang Besi Jakal - B,110.415444,-7.700218
149,Simpang Degolan - A,110.419171,-7.684067
150,Simpang Degolan - B,110.419206,-7.684105
151,Simpang Gesikan - A,110.316446,-7.773567
152,Simpang Gesikan - B,110.31656,-7.773664
153,Simpang Kabunan - A,110.438559,-7.71859
154,Simpang Kabunan - B,110.438232,-7.719497
155,Simpang Kenti - A,110.448079,-7.703531
156,Simpang Kenti - B,110.448106,-7.703513
157,Simpang Losari (Cozy) - A,110.433006,-7.704851
158,Simpang Losari (Cozy) - B,110.433145,-7.704804
159,Simpang Mandungan (Iwak Kalen) - A,110.303015,-7.770049
160,Simpang Mandungan (Iwak Kalen) - B,110.303,-7.770103
161,Simpang Munggur - A,110.318355,-7.77394
162,Simpang Munggur - B,110.318287,-7.77398
163,Simpang Palem Raya - A,110.397561,-7.730553
164,Simpang Palem Raya - B,110.397675,-7.730433
165,Simpang Selomartani - A,110.438107,-7.722328
166,Simpang Selomartani - B,110.437974,-7.722393
167,SMAN 2 Ngaglik - A,110.43501,-7.704858
168,SMAN 2 Ngaglik - B,110.43499,-7.704814
169,SMKN 1 Depok - Jl. Raya Tajem - A,110.431485,-7.765242
170,SMKN 1 Depok - Jl. Raya Tajem - B,110.431556,-7.765254
171,SMKN 1 Depok - Ring Road Utara,110.431103,-7.766483
172,SMPN 2 Ngaglik - A,110.40604,-7.715823
173,SMPN 2 Ngaglik - B,110.406006,-7.715972
